"(24, 71)","[1, 2, 0, 5]","[3, 6, 4, 1]",32
"(24, 65)","[1, 2, 0, 5]","[3, 5, 5, 1]",31.5
"(24, 70)","[1, 2, 0, 5]","[3, 6, 3, 1]",31.5
"(24, 56)","[1, 2, 0, 5]","[3, 4, 6, 1]",31
"(24, 64)","[1, 2, 0, 5]","[3, 5, 4, 1]",31
"(24, 69)","[1, 2, 0, 5]","[3, 6, 2, 1]",31
"(24, 55)","[1, 2, 0, 5]","[3, 4, 5, 1]",30.5
"(24, 63)","[1, 2, 0, 5]","[3, 5, 3, 1]",30.5
"(24, 68)","[1, 2, 0, 5]","[3, 6, 1, 1]",30.5
"(24, 46)","[1, 2, 0, 5]","[2, 4, 6, 1]",30
"(24, 54)","[1, 2, 0, 5]","[3, 4, 4, 1]",30
"(24, 62)","[1, 2, 0, 5]","[3, 5, 2, 1]",30
"(24, 67)","[1, 2, 0, 5]","[3, 6, 0, 1]",30
"(24, 32)","[1, 2, 0, 5]","[2, 3, 7, 1]",29.5
"(24, 45)","[1, 2, 0, 5]","[2, 4, 5, 1]",29.5
"(24, 53)","[1, 2, 0, 5]","[3, 4, 3, 1]",29.5
"(24, 61)","[1, 2, 0, 5]","[3, 5, 1, 1]",29.5
"(24, 31)","[1, 2, 0, 5]","[2, 3, 6, 1]",29
"(24, 44)","[1, 2, 0, 5]","[2, 4, 4, 1]",29
"(24, 52)","[1, 2, 0, 5]","[3, 4, 2, 1]",29
"(24, 60)","[1, 2, 0, 5]","[3, 5, 0, 1]",29
"(24, 30)","[1, 2, 0, 5]","[2, 3, 5, 1]",28.5
"(24, 43)","[1, 2, 0, 5]","[2, 4, 3, 1]",28.5
"(24, 51)","[1, 2, 0, 5]","[3, 4, 1, 1]",28.5
"(8, 24)","[1, 2, 8, 1]","[1, 2, 0, 5]",28
"(24, 29)","[1, 2, 0, 5]","[2, 3, 4, 1]",28
"(24, 42)","[1, 2, 0, 5]","[2, 4, 2, 1]",28
"(24, 50)","[1, 2, 0, 5]","[3, 4, 0, 1]",28
"(7, 24)","[1, 2, 7, 1]","[1, 2, 0, 5]",27.5
"(24, 28)","[1, 2, 0, 5]","[2, 3, 3, 1]",27.5
"(24, 41)","[1, 2, 0, 5]","[2, 4, 1, 1]",27.5
"(6, 24)","[1, 2, 6, 1]","[1, 2, 0, 5]",27
"(24, 27)","[1, 2, 0, 5]","[2, 3, 2, 1]",27
"(24, 40)","[1, 2, 0, 5]","[2, 4, 0, 1]",27
"(5, 24)","[1, 2, 5, 1]","[1, 2, 0, 5]",26.5
"(24, 26)","[1, 2, 0, 5]","[2, 3, 1, 1]",26.5
"(4, 24)","[1, 2, 4, 1]","[1, 2, 0, 5]",26
"(21, 71)","[1, 2, 0, 4]","[3, 6, 4, 1]",26
"(24, 25)","[1, 2, 0, 5]","[2, 3, 0, 1]",26
"(3, 24)","[1, 2, 3, 1]","[1, 2, 0, 5]",25.5
"(21, 65)","[1, 2, 0, 4]","[3, 5, 5, 1]",25.5
"(21, 70)","[1, 2, 0, 4]","[3, 6, 3, 1]",25.5
"(22, 71)","[1, 2, 1, 4]","[3, 6, 4, 1]",25.5
"(2, 24)","[1, 2, 2, 1]","[1, 2, 0, 5]",25
"(21, 56)","[1, 2, 0, 4]","[3, 4, 6, 1]",25
"(21, 64)","[1, 2, 0, 4]","[3, 5, 4, 1]",25
"(21, 69)","[1, 2, 0, 4]","[3, 6, 2, 1]",25
"(22, 65)","[1, 2, 1, 4]","[3, 5, 5, 1]",25
"(22, 70)","[1, 2, 1, 4]","[3, 6, 3, 1]",25
"(23, 67)","[1, 2, 2, 4]","[3, 6, 0, 1]",25
"(23, 71)","[1, 2, 2, 4]","[3, 6, 4, 1]",25
"(1, 24)","[1, 2, 1, 1]","[1, 2, 0, 5]",24.5
"(21, 55)","[1, 2, 0, 4]","[3, 4, 5, 1]",24.5
"(21, 63)","[1, 2, 0, 4]","[3, 5, 3, 1]",24.5
"(21, 68)","[1, 2, 0, 4]","[3, 6, 1, 1]",24.5
"(22, 56)","[1, 2, 1, 4]","[3, 4, 6, 1]",24.5
"(22, 64)","[1, 2, 1, 4]","[3, 5, 4, 1]",24.5
"(22, 67)","[1, 2, 1, 4]","[3, 6, 0, 1]",24.5
"(22, 69)","[1, 2, 1, 4]","[3, 6, 2, 1]",24.5
"(23, 65)","[1, 2, 2, 4]","[3, 5, 5, 1]",24.5
"(23, 68)","[1, 2, 2, 4]","[3, 6, 1, 1]",24.5
"(23, 70)","[1, 2, 2, 4]","[3, 6, 3, 1]",24.5
"(0, 24)","[1, 2, 0, 1]","[1, 2, 0, 5]",24
"(8, 66)","[1, 2, 8, 1]","[3, 5, 0, 2]",24
"(21, 46)","[1, 2, 0, 4]","[2, 4, 6, 1]",24
"(21, 54)","[1, 2, 0, 4]","[3, 4, 4, 1]",24
"(21, 62)","[1, 2, 0, 4]","[3, 5, 2, 1]",24
"(21, 67)","[1, 2, 0, 4]","[3, 6, 0, 1]",24
"(22, 55)","[1, 2, 1, 4]","[3, 4, 5, 1]",24
"(22, 63)","[1, 2, 1, 4]","[3, 5, 3, 1]",24
"(22, 68)","[1, 2, 1, 4]","[3, 6, 1, 1]",24
"(23, 56)","[1, 2, 2, 4]","[3, 4, 6, 1]",24
"(23, 60)","[1, 2, 2, 4]","[3, 5, 0, 1]",24
"(23, 64)","[1, 2, 2, 4]","[3, 5, 4, 1]",24
"(23, 69)","[1, 2, 2, 4]","[3, 6, 2, 1]",24
"(7, 66)","[1, 2, 7, 1]","[3, 5, 0, 2]",23.5
"(21, 32)","[1, 2, 0, 4]","[2, 3, 7, 1]",23.5
"(21, 45)","[1, 2, 0, 4]","[2, 4, 5, 1]",23.5
"(21, 53)","[1, 2, 0, 4]","[3, 4, 3, 1]",23.5
"(21, 61)","[1, 2, 0, 4]","[3, 5, 1, 1]",23.5
"(22, 46)","[1, 2, 1, 4]","[2, 4, 6, 1]",23.5
"(22, 54)","[1, 2, 1, 4]","[3, 4, 4, 1]",23.5
"(22, 60)","[1, 2, 1, 4]","[3, 5, 0, 1]",23.5
"(22, 62)","[1, 2, 1, 4]","[3, 5, 2, 1]",23.5
"(23, 55)","[1, 2, 2, 4]","[3, 4, 5, 1]",23.5
"(23, 61)","[1, 2, 2, 4]","[3, 5, 1, 1]",23.5
"(23, 63)","[1, 2, 2, 4]","[3, 5, 3, 1]",23.5
"(6, 66)","[1, 2, 6, 1]","[3, 5, 0, 2]",23
"(21, 31)","[1, 2, 0, 4]","[2, 3, 6, 1]",23
"(21, 44)","[1, 2, 0, 4]","[2, 4, 4, 1]",23
"(21, 52)","[1, 2, 0, 4]","[3, 4, 2, 1]",23
"(21, 60)","[1, 2, 0, 4]","[3, 5, 0, 1]",23
"(22, 32)","[1, 2, 1, 4]","[2, 3, 7, 1]",23
"(22, 45)","[1, 2, 1, 4]","[2, 4, 5, 1]",23
"(22, 53)","[1, 2, 1, 4]","[3, 4, 3, 1]",23
"(22, 61)","[1, 2, 1, 4]","[3, 5, 1, 1]",23
"(23, 46)","[1, 2, 2, 4]","[2, 4, 6, 1]",23
"(23, 50)","[1, 2, 2, 4]","[3, 4, 0, 1]",23
"(23, 54)","[1, 2, 2, 4]","[3, 4, 4, 1]",23
"(23, 62)","[1, 2, 2, 4]","[3, 5, 2, 1]",23
"(5, 66)","[1, 2, 5, 1]","[3, 5, 0, 2]",22.5
"(21, 30)","[1, 2, 0, 4]","[2, 3, 5, 1]",22.5
"(21, 43)","[1, 2, 0, 4]","[2, 4, 3, 1]",22.5
"(21, 51)","[1, 2, 0, 4]","[3, 4, 1, 1]",22.5
"(22, 31)","[1, 2, 1, 4]","[2, 3, 6, 1]",22.5
"(22, 44)","[1, 2, 1, 4]","[2, 4, 4, 1]",22.5
