6,"('[1, 0, 0, 0, 1]', 0)","('[1, 0, 0, 1, 0]', 1)","('[1, 0, 0, 0, 0]', 2)",3,4,3.5
0,"('[0, 0, 0, 1, 0]', 0)","('[1, 0, 0, 0, 0]', 1)","('[0, 0, 1, 1, 0]', 2)",7,4,5.5
4,"('[0, 1, 0, 0, 0]', 0)","('[0, 0, 1, 1, 0]', 1)","('[1, 0, 0, 0, 1]', 2)",4,7,5.5
2,"('[0, 0, 1, 0, 0]', 0)","('[0, 1, 0, 1, 0]', 1)","('[0, 0, 0, 1, 0]', 2)",4,8,6
3,"('[1, 0, 0, 1, 0]', 0)","('[0, 0, 1, 0, 1]', 1)","('[0, 0, 0, 1, 0]', 2)",8,4,6
7,"('[0, 0, 1, 0, 0]', 0)","('[0, 0, 1, 1, 0]', 1)","('[0, 0, 1, 0, 0]', 2)",4,9,6.5
8,"('[0, 0, 0, 0, 1]', 0)","('[0, 1, 1, 0, 0]', 1)","('[0, 1, 1, 0, 0]', 2)",4,9,6.5
9,"('[0, 0, 1, 0, 0]', 0)","('[0, 0, 0, 1, 0]', 1)","('[0, 1, 0, 0, 0]', 2)",8,7,7.5
1,"('[1, 0, 0, 0, 1]', 0)","('[1, 0, 0, 0, 1]', 1)","('[0, 1, 1, 0, 0]', 2)",9,7,8
5,"('[0, 1, 0, 0, 0]', 0)","('[0, 1, 0, 0, 0]', 1)","('[0, 0, 0, 1, 0]', 2)",9,7,8
