3,"('[0, 0, 0, 1, 1, 0, 1, 0, 1, 0]', 0)","('[1, 0, 0, 0, 1, 0, 1, 1, 0, 0]', 1)","('[0, 0, 1, 0, 0, 0, 0, 0, 0, 1]', 2)",5,6,7,6
4,"('[0, 0, 0, 1, 0, 0, 0, 1, 0, 1]', 0)","('[0, 0, 0, 0, 1, 0, 0, 0, 1, 1]', 1)","('[0, 0, 0, 0, 0, 1, 1, 1, 1, 0]', 2)",8,4,6,6
18,"('[0, 1, 0, 1, 0, 0, 1, 0, 1, 0]', 0)","('[0, 0, 0, 0, 0, 1, 0, 0, 1, 0]', 1)","('[0, 0, 1, 0, 0, 0, 0, 0, 1, 0]', 2)",6,4,8,6
5,"('[0, 0, 0, 0, 0, 1, 0, 0, 0, 0]', 0)","('[0, 0, 0, 0, 0, 0, 0, 1, 1, 1]', 1)","('[1, 0, 0, 0, 1, 0, 1, 0, 0, 0]', 2)",8,7,4,6.333333333
7,"('[0, 0, 1, 0, 0, 0, 0, 0, 0, 0]', 0)","('[0, 1, 1, 1, 0, 0, 0, 0, 0, 0]', 1)","('[0, 1, 0, 1, 0, 0, 1, 1, 0, 0]', 2)",8,5,,6.5
13,"('[0, 0, 0, 0, 0, 0, 1, 0, 1, 0]', 0)","('[0, 0, 0, 0, 0, 0, 0, 0, 1, 0]', 1)","('[0, 1, 0, 0, 1, 0, 0, 0, 1, 0]', 2)",9,5,6,6.666666667
20,"('[0, 0, 0, 1, 1, 1, 0, 0, 0, 0]', 0)","('[0, 1, 0, 1, 1, 0, 0, 1, 0, 0]', 1)","('[0, 1, 0, 1, 1, 1, 0, 0, 0, 0]', 2)",4,9,7,6.666666667
1,"('[1, 0, 0, 0, 1, 0, 0, 0, 1, 1]', 0)","('[0, 0, 0, 0, 0, 1, 1, 0, 0, 0]', 1)","('[1, 0, 0, 0, 0, 1, 1, 0, 0, 0]', 2)",5,9,,7
12,"('[0, 0, 1, 1, 0, 0, 0, 1, 1, 0]', 0)","('[0, 1, 0, 0, 1, 0, 0, 0, 1, 0]', 1)","('[0, 0, 0, 1, 0, 0, 0, 1, 0, 0]', 2)",5,9,,7
16,"('[1, 0, 0, 0, 0, 0, 0, 1, 0, 0]', 0)","('[0, 0, 0, 1, 0, 0, 1, 1, 1, 0]', 1)","('[0, 1, 0, 0, 0, 0, 0, 0, 0, 1]', 2)",8,6,,7
0,"('[1, 0, 0, 0, 0, 0, 1, 1, 0, 1]', 0)","('[1, 1, 0, 0, 0, 1, 0, 0, 0, 0]', 1)","('[0, 0, 0, 0, 1, 0, 1, 1, 0, 0]', 2)",7,9,6,7.333333333
2,"('[1, 0, 0, 0, 0, 0, 0, 0, 1, 0]', 0)","('[0, 1, 1, 0, 0, 0, 0, 0, 1, 0]', 1)","('[1, 0, 0, 0, 1, 0, 0, 0, 1, 0]', 2)",7,9,6,7.333333333
8,"('[0, 0, 0, 1, 1, 0, 1, 0, 1, 0]', 0)","('[0, 0, 0, 0, 1, 0, 0, 0, 0, 0]', 1)","('[0, 0, 0, 0, 0, 1, 0, 0, 0, 1]', 2)",6,9,,7.5
10,"('[0, 1, 0, 0, 0, 1, 0, 1, 0, 1]', 0)","('[0, 1, 0, 1, 1, 0, 0, 1, 0, 0]', 1)","('[0, 1, 0, 0, 0, 0, 1, 0, 1, 0]', 2)",8,7,,7.5
17,"('[0, 1, 0, 0, 0, 1, 0, 0, 1, 0]', 0)","('[1, 0, 0, 0, 0, 0, 0, 0, 0, 0]', 1)","('[0, 1, 1, 0, 1, 0, 0, 0, 1, 0]', 2)",6,9,,7.5
19,"('[1, 0, 0, 0, 0, 0, 0, 0, 0, 0]', 0)","('[0, 1, 0, 0, 1, 0, 0, 0, 1, 0]', 1)","('[0, 0, 0, 0, 0, 1, 0, 0, 1, 0]', 2)",6,9,,7.5
6,"('[0, 0, 0, 1, 0, 1, 0, 0, 1, 0]', 0)","('[1, 0, 1, 0, 0, 0, 0, 1, 0, 0]', 1)","('[1, 0, 1, 0, 0, 0, 1, 1, 0, 0]', 2)",8,7,9,8
15,"('[0, 1, 0, 0, 0, 0, 1, 1, 1, 0]', 0)","('[0, 0, 1, 0, 0, 0, 0, 1, 0, 1]', 1)","('[0, 0, 1, 0, 0, 0, 0, 0, 0, 0]', 2)",9,7,,8
23,"('[0, 1, 1, 1, 0, 0, 0, 0, 0, 0]', 0)","('[0, 0, 1, 1, 0, 1, 0, 0, 0, 0]', 1)","('[0, 0, 1, 0, 0, 1, 0, 0, 0, 0]', 2)",8,7,9,8
14,"('[0, 1, 0, 0, 1, 0, 0, 0, 0, 0]', 0)","('[1, 0, 0, 0, 0, 0, 1, 0, 0, 0]', 1)","('[1, 0, 0, 0, 0, 0, 0, 0, 0, 0]', 2)",8,9,,8.5
21,"('[0, 0, 0, 1, 1, 0, 0, 0, 0, 0]', 0)","('[0, 0, 0, 0, 0, 1, 0, 1, 0, 0]', 1)","('[1, 1, 0, 0, 0, 0, 0, 0, 1, 0]', 2)",8,9,,8.5
9,"('[0, 0, 0, 0, 0, 0, 1, 0, 0, 0]', 0)","('[1, 0, 1, 0, 0, 0, 0, 0, 1, 0]', 1)","('[0, 0, 1, 0, 0, 0, 0, 0, 0, 0]', 2)",7,15,,11
22,"('[1, 0, 0, 1, 0, 0, 1, 0, 0, 0]', 0)","('[0, 0, 1, 0, 0, 1, 0, 0, 0, 1]', 1)","('[0, 0, 0, 0, 1, 1, 0, 0, 0, 0]', 2)",18,4,,11
11,"('[0, 0, 0, 0, 0, 1, 0, 0, 0, 1]', 0)","('[0, 0, 0, 0, 0, 0, 1, 0, 0, 0]', 1)","('[0, 0, 0, 0, 0, 0, 0, 0, 1, 0]', 2)",9,17,,13
24,"('[1, 0, 0, 0, 0, 1, 1, 0, 0, 0]', 0)","('[0, 0, 0, 0, 1, 1, 0, 0, 0, 1]', 1)","('[0, 0, 0, 1, 0, 0, 0, 0, 0, 0]', 2)",18,8,,13
